R1,G1,B1,R2,G2,B2,R3,G3,B3,R4,G4,B4,R5,G5,B5,R6,G6,B6,R7,G7,B7,R8,G8,B8,R9,G9,B9
0.1,2.7531200423306224e-07,0.8999999983510771,0.11,0.010000275312004233,0.8999999983510771,0.08,2.7531200423306224e-07,0.44999999917553857,6.652224221313057e-07,0.01,0.00011105511838760855,6.652224221313057e-07,0.01,8.884409471008685e-05,6.652224221313057e-07,0.11,0.00011105511838760855,0.11000000000694397,2.7531200423306224e-07,0.7999999995877694,0.10000000000694398,2.7531200423306224e-07,0.8999999995877693,0.20000000000694398,2.7531200423306224e-07,0.8999999995877693
0.1,3.716322939723512e-07,0.8999999972813858,0.11,0.010000371632293973,0.8999999972813858,0.08,3.716322939723512e-07,0.4499999986406929,1.3395923244091647e-06,0.01,0.00014990225829960245,1.3395923244091647e-06,0.01,0.00011992180663968196,1.3395923244091647e-06,0.11,0.00014990225829960245,0.11000000001144868,3.716322939723512e-07,0.7999999993203465,0.10000000001144868,3.705190682229669e-07,0.8999999993203465,0.2000000000114487,3.716322939723512e-07,0.8999999993203465
0.1,5.01651052727049e-07,0.8999999955177629,0.11,0.010000501651052728,0.8999999955177629,0.08,5.01651052727049e-07,0.44999999775888144,2.69760309095263e-06,0.01,0.00020233509320996578,2.69760309095263e-06,0.01,0.00016186807456797264,2.69760309095263e-06,0.11,0.00020233509320996578,0.11000000001887568,5.01651052727049e-07,0.7999999988794407,0.10000000001887568,4.986501597599165e-07,0.8999999988794407,0.2000000000188757,5.01651052727049e-07,0.8999999988794407
0.1,6.77157959802282e-07,0.8999999926100404,0.11,0.010000677157959803,0.8999999926100404,0.08,6.77157959802282e-07,0.4499999963050202,5.432286958476109e-06,0.01,0.00027310232702602725,5.432286958476109e-06,0.01,0.0002184818616208218,5.432286958476109e-06,0.11,0.00027310232702602725,0.11000000003112072,6.77157959802282e-07,0.7999999981525101,0.10000000003112072,6.710908854954835e-07,0.8999999981525101,0.20000000003112073,6.77157959802282e-07,0.8999999981525101
0.1,9.140673955466294e-07,0.8999999878160164,0.11,0.010000914067395547,0.8999999878160164,0.08,9.140673955466294e-07,0.4499999939080082,1.093920726767979e-05,0.01,0.0003686104484874454,1.093920726767979e-05,0.01,0.00029488835878995634,1.093920726767979e-05,0.11,0.0003686104484874454,0.1100000000513094,9.140673955466294e-07,0.7999999969540041,0.1000000000513094,9.031641481305925e-07,0.8999999969540041,0.2000000000513094,9.140673955466294e-07,0.8999999969540041
0.1,1.2338614861720603e-06,0.8999999799120073,0.11,0.010001233861486172,0.8999999799120073,0.08,1.2338614861720603e-06,0.44999998995600365,2.202855289166678e-05,0.01,0.0004975007732312396,2.202855289166678e-05,0.01,0.0003980006185849917,2.202855289166678e-05,0.11,0.0004975007732312396,0.1100000000845949,1.2338614861720603e-06,0.7999999949780019,0.1000000000845949,1.2154917066537492e-06,0.8999999949780019,0.2000000000845949,1.2338614861720603e-06,0.8999999949780019
0.1,1.6655379955771082e-06,0.8999999668804997,0.11,0.010001665537995577,0.8999999668804997,0.08,1.6655379955771082e-06,0.44999998344024983,4.435881977823601e-05,0.01,0.0006714259504530279,4.435881977823601e-05,0.01,0.0005371407603624224,4.435881977823601e-05,0.11,0.0006714259504530279,0.1100000001394734,1.6655379955771082e-06,0.7999999917201249,0.10000000013947341,1.635826571171126e-06,0.8999999917201249,0.20000000013947342,1.6655379955771082e-06,0.8999999917201249
0.1,2.248239677064114e-06,0.8999999453951767,0.11,0.010002248239677065,0.8999999453951767,0.08,2.248239677064114e-06,0.44999997269758835,8.932267250365022e-05,0.01,0.000906093738077074,8.932267250365022e-05,0.01,0.0007248749904616592,8.932267250365022e-05,0.11,0.000906093738077074,0.11000000022995277,2.248239677064114e-06,0.7999999863487942,0.10000000022995277,2.20151904296383e-06,0.8999999863487942,0.2000000002299528,2.248239677064114e-06,0.8999999863487942
0.1,3.034803477321708e-06,0.8999999099718704,0.11,0.010003034803477322,0.8999999099718704,0.08,3.034803477321708e-06,0.4499999549859352,0.0001798534161866366,0.01,0.0012226679553860632,0.0001798534161866366,0.01,0.0009781343643088505,0.0001798534161866366,0.11,0.0012226679553860632,0.11000000037912802,3.034803477321708e-06,0.7999999774929676,0.10000000037912803,2.962835503754985e-06,0.8999999774929676,0.20000000037912802,3.034803477321708e-06,0.8999999774929676
0.1,4.096551370319898e-06,0.8999998515687185,0.11,0.01000409655137032,0.8999998515687185,0.08,4.096551370319898e-06,0.44999992578435927,0.0003620977785924283,0.01,0.0016496450482435248,0.0003620977785924283,0.01,0.00131971603859482,0.0003620977785924283,0.11,0.0016496450482435248,0.11000000062507644,4.096551370319898e-06,0.7999999628921797,0.10000000062507644,3.987424811267103e-06,0.8999999628921797,0.20000000062507645,4.096551370319898e-06,0.8999999628921797
